"RESOURCE_TYPES (0: 텍스쳐, 1: 폰트, 2: 사운드 클립, 3: 애니메이션 클립, 4: 애니메이션 스프라이트 클립)",RESOURCE_PATH
1,fonts/CookieRun Black.otf
1,fonts/CookieRun Bold.otf
1,fonts/CookieRun Regular.otf
0,graphics/Lobby/Lobby1/Lobby1.png
0,graphics/Lobby/Lobby1/Lobby2.png
0,graphics/Lobby/Lobby1/Lobby3.png
0,graphics/Lobby/Lobby1/Lobby4.png
0,graphics/Lobby/Lobby1/Lobby5.png
0,graphics/Lobby/Lobby1/Lobby6.png
0,graphics/Lobby/Lobby1/Lobby7.png
0,graphics/Lobby/Lobby1/Lobby8.png
0,graphics/Lobby/Lobby1/Effect1.png
0,graphics/Lobby/Lobby1/Effect2.png
0,graphics/Lobby/Lobby1/Effect3.png
0,graphics/Lobby/Lobby1/Effect4.png
0,graphics/Lobby/Lobby1/Effect5.png
0,graphics/Lobby/Lobby1/Effect6.png
0,graphics/Lobby/Lobby1/Effect7.png
0,graphics/Lobby/Lobby2/Lobby1.png
0,graphics/Lobby/Lobby2/Lobby2.png
0,graphics/Lobby/Lobby2/Lobby3.png
0,graphics/Lobby/Lobby2/Lobby4.png
0,graphics/Lobby/Lobby2/Lobby5.png
0,graphics/Lobby/Lobby2/Lobby6.png
0,graphics/Lobby/Lobby2/Lobby7.png
0,graphics/Lobby/Lobby2/Lobby8.png
0,graphics/Lobby/Lobby2/Lobby9.png
0,graphics/Lobby/Lobby3/Lobby1.png
0,graphics/Lobby/Lobby3/Lobby2.png
0,graphics/Lobby/Lobby3/Lobby3.png
0,graphics/Lobby/Lobby3/Lobby4.png
0,graphics/Lobby/Lobby3/Lobby5.png
0,graphics/Lobby/Lobby3/Lobby6.png
0,graphics/Lobby/Lobby3/Lobby7.png
0,graphics/Lobby/PlayButton.png
3,animations/Lobby/Lobby1/Lobby1.csv
3,animations/Lobby/Lobby1/LobbyEffect1.csv
3,animations/Lobby/Lobby2/Lobby2.csv
3,animations/Lobby/Lobby3/Lobby3.csv
0,graphics/Lobby/PlayButton.png
0,graphics/Lobby/Pancake/Happy1.png
0,graphics/Lobby/Pancake/Happy2.png
0,graphics/Lobby/Pancake/Sad1.png
0,graphics/Lobby/Pancake/Sad2.png
0,graphics/Lobby/Pancake/Turn1.png
0,graphics/Lobby/Pancake/Turn2.png
0,graphics/Lobby/Pancake/Turn3.png
0,graphics/Lobby/Pancake/Turn4.png
0,graphics/Lobby/Pancake/Turn5.png
0,graphics/Lobby/Pancake/Turn6.png
0,graphics/Lobby/Pancake/Turn7.png
0,graphics/Lobby/Pancake/Turn8.png
0,graphics/Lobby/Pancake/Turn9.png
0,graphics/Lobby/Pancake/Turn10.png
0,graphics/Lobby/Pancake/Turn11.png
0,graphics/Lobby/Pancake/Turn12.png
0,graphics/Lobby/Pancake/Turn13.png
0,graphics/Lobby/Pancake/Turn14.png
0,graphics/Lobby/Pancake/Turn15.png
3,animations/Lobby/Pancake/Happy.csv
3,animations/Lobby/Pancake/Sad.csv
3,animations/Lobby/Pancake/Turn.csv
0,graphics/Lobby/Pirate/Happy1.png
0,graphics/Lobby/Pirate/Happy2.png
0,graphics/Lobby/Pirate/Sad1.png
0,graphics/Lobby/Pirate/Sad2.png
0,graphics/Lobby/Pirate/Turn1.png
0,graphics/Lobby/Pirate/Turn2.png
0,graphics/Lobby/Pirate/Turn3.png
0,graphics/Lobby/Pirate/Turn4.png
0,graphics/Lobby/Pirate/Turn5.png
0,graphics/Lobby/Pirate/Turn6.png
0,graphics/Lobby/Pirate/Turn7.png
0,graphics/Lobby/Moonlighter/Moon1.png
0,graphics/Lobby/Moonlighter/Moon2.png
0,graphics/Lobby/Moonlighter/Moon3.png
0,graphics/Lobby/Moonlighter/Moon4.png
0,graphics/Lobby/Moonlighter/Moon5.png
0,graphics/Lobby/Moonlighter/Moon6.png
0,graphics/Lobby/Moonlighter/Moon7.png
0,graphics/Lobby/Moonlighter/Moon8.png
0,graphics/Lobby/Moonlighter/Moon9.png
0,graphics/Lobby/Moonlighter/Moon10.png
0,graphics/Lobby/Moonlighter/Moon11.png
0,graphics/Lobby/Moonlighter/Moon12.png
0,graphics/Lobby/Moonlighter/Moon13.png
0,graphics/Lobby/Moonlighter/Moon14.png
0,graphics/Lobby/Moonlighter/Moon15.png
0,graphics/Lobby/Moonlighter/Moon16.png
0,graphics/Lobby/Moonlighter/Turn1.png
0,graphics/Lobby/Moonlighter/Turn2.png
0,graphics/Lobby/Moonlighter/Turn3.png
0,graphics/Lobby/Moonlighter/Turn4.png
0,graphics/Lobby/Moonlighter/Turn5.png
0,graphics/Lobby/Moonlighter/Turn6.png
0,graphics/Lobby/Moonlighter/Turn7.png
0,graphics/Lobby/Moonlighter/Turn8.png
0,graphics/Lobby/Moonlighter/Turn9.png
0,graphics/Lobby/Button.png
3,animations/Lobby/Pirate/Happy.csv
3,animations/Lobby/Pirate/Sad.csv
3,animations/Lobby/Pirate/Turn.csv
3,animations/Lobby/Moonlighter/Moon.csv
3,animations/Lobby/Moonlighter/Turn.csv
0,graphics/Lobby/CookieSkinBox/SkinIcon1.png
0,graphics/Lobby/CookieSkinBox/SkinIcon2.png
0,graphics/Lobby/CookieStorageBox/StorageIcon.png
0,graphics/Lobby/CookieStorageBox/PancakeIcon.png
0,graphics/Lobby/CookieStorageBox/PirateIcon.png
0,graphics/Lobby/CookieStorageBox/MoonlighterIcon.png
