ID,FPS,LOOPTYPE
Moon,5,0
,,
TEXTURE ID,,
graphics/Lobby/Moonlighter/Moon1.png,,
graphics/Lobby/Moonlighter/Moon2.png,,
graphics/Lobby/Moonlighter/Moon3.png,,
graphics/Lobby/Moonlighter/Moon4.png,,
graphics/Lobby/Moonlighter/Moon5.png,,
graphics/Lobby/Moonlighter/Moon6.png,,
graphics/Lobby/Moonlighter/Moon7.png,,
graphics/Lobby/Moonlighter/Moon8.png,,
graphics/Lobby/Moonlighter/Moon9.png,,
graphics/Lobby/Moonlighter/Moon10.png,,
graphics/Lobby/Moonlighter/Moon11.png,,
graphics/Lobby/Moonlighter/Moon12.png,,
graphics/Lobby/Moonlighter/Moon13.png,,
graphics/Lobby/Moonlighter/Moon14.png,,
graphics/Lobby/Moonlighter/Moon15.png,,
graphics/Lobby/Moonlighter/Moon16.png,,
