Path,Type,"Pos X","Pos Y","Scale X","Scale Y",Origin
graphics/Stage1/Ground.png,0,1714.21875,963.185913,2.99999952,2.00000024,4
graphics/Stage1/Ground.png,0,2086.17188,963.185913,2.99999952,2.00000024,4
graphics/Stage1/Ground.png,0,2457,963.185913,2.99999952,2.00000024,4
graphics/Stage1/Pillar1.png,1,2308.98438,317.522156,1.00000024,1.70000017,4
graphics/Stage1/Platform.png,0,2883.98438,734.86731,1.50000036,1,4
graphics/Stage1/Platform.png,0,3158.04688,852.743469,1.50000036,1,4
graphics/Stage1/Platform.png,0,3423.98438,745.486816,1.50000036,1,4
graphics/Stage1/Platform.png,0,3919.92188,552.000122,2.00000024,1,4
graphics/Stage1/Platform.png,0,4484.14062,717.000061,2.00000024,1,4
graphics/Stage1/Platform.png,0,4557.8125,368.000061,2.00000024,1,4
graphics/Jelly/Diamond/LuckyBox.png,14,5192.10938,142.300873,1,1,4
graphics/Jelly/Coin/GoldCoin1.png,10,4085.23438,261.238983,1,1,4
graphics/Jelly/Coin/GoldCoin1.png,10,4223.59375,179.469025,1,1,4
graphics/Jelly/Coin/GoldCoin1.png,10,4370.9375,167.787628,1,1,4
graphics/Jelly/Coin/GoldCoin1.png,10,4015.15625,354.690308,1,1,4
graphics/Jelly/Coin/GoldCoin1.png,10,4532.65625,244.247803,1,1,4
graphics/Jelly/Coin/GoldCoin1.png,10,4685.39062,146.548706,1,1,4
graphics/Jelly/Coin/GoldCoin1.png,10,4836.79736,110.442474,1,1,4
graphics/Jelly/Coin/GoldCoin1.png,10,5021.40625,124.247803,1,1,4
graphics/Jelly/Coin/Coin1.png,8,2485.54712,773.097412,1,1,4
graphics/Jelly/Coin/Coin1.png,8,2584.37524,666.90271,1,1,4
graphics/Jelly/Coin/Coin1.png,8,2716.875,608.495667,1,1,4
graphics/Jelly/Coin/Coin1.png,8,2843.12524,658.407166,1,1,4
graphics/Jelly/Coin/Coin1.png,8,3149.0625,774.159363,1,1,4
graphics/Jelly/Coin/Coin1.png,8,3033.59399,696.637268,1,1,4
graphics/Jelly/Coin/Coin1.png,8,3260.46875,687.079712,1,1,4
graphics/Jelly/Coin/Coin1.png,8,3418.59375,666.90271,1,1,4
graphics/Jelly/Coin/Coin1.png,8,3476.09375,569.203613,1,1,4
graphics/Jelly/Coin/Coin1.png,8,3567.73438,468.318634,1,1,4
graphics/Jelly/Coin/Coin1.png,8,3664.76562,407.787659,1,1,4
graphics/Jelly/Coin/Coin1.png,8,3799.53125,431.150482,1,1,4
graphics/Jelly/Coin/Coin1.png,8,3927.10938,481.061981,1,1,4
graphics/Jelly/Coin/Coin1.png,8,2335.9375,780.531067,1,1,4
graphics/Jelly/Coin/Coin1.png,8,4158.90625,485.309814,1,1,4
graphics/Jelly/Coin/Coin1.png,8,4299.0625,518.230164,1,1,4
graphics/Jelly/Coin/Coin1.png,8,4406.875,578.761108,1,1,4
graphics/Jelly/Coin/Coin1.png,8,4503.90625,652.035461,1,1,4
graphics/Jelly/Coin/Coin1.png,8,4593.75,585.132812,1,1,4
graphics/Jelly/Coin/Coin1.png,8,4721.79736,509.734558,1,1,4
graphics/Jelly/Coin/Coin1.png,8,4875.85938,454.513336,1,1,4
graphics/Jelly/Coin/Coin1.png,8,5041.64111,505.486786,1,1,4
graphics/Jelly/Coin/Coin1.png,8,5149.45361,585.132812,1,1,4
graphics/Jelly/Coin/Coin1.png,8,5257.26611,653.097412,1,1,4
