ID,FPS,LOOPTYPE
Moon,5,0
,,
TEXTURE ID,,
graphics/Lobby/Skin/Moonlighter/Moon1.png,,
graphics/Lobby/Skin/Moonlighter/Moon2.png,,
graphics/Lobby/Skin/Moonlighter/Moon3.png,,
graphics/Lobby/Skin/Moonlighter/Moon4.png,,
graphics/Lobby/Skin/Moonlighter/Moon5.png,,
graphics/Lobby/Skin/Moonlighter/Moon6.png,,
graphics/Lobby/Skin/Moonlighter/Moon7.png,,
graphics/Lobby/Skin/Moonlighter/Moon8.png,,
graphics/Lobby/Skin/Moonlighter/Moon9.png,,
graphics/Lobby/Skin/Moonlighter/Moon10.png,,
graphics/Lobby/Skin/Moonlighter/Moon11.png,,
graphics/Lobby/Skin/Moonlighter/Moon12.png,,
graphics/Lobby/Skin/Moonlighter/Moon13.png,,
graphics/Lobby/Skin/Moonlighter/Moon14.png,,
graphics/Lobby/Skin/Moonlighter/Moon15.png,,
graphics/Lobby/Skin/Moonlighter/Moon16.png,,
